step,ss_mse,ss_mse_db,family,snr_db,seed
272000,0.0025440805471334546,-25.944691426084884,time_varying,0.0,7
272000,0.008689886781610912,-20.60985881780061,colored,15.0,7
272000,0.04431921313618535,-13.534079588665405,colored,0.0,7
276000,0.0785113016263799,-11.050678224761128,gaussian,15.0,7
276000,0.028541994577404698,-15.445156806913445,colored,5.0,7
276000,0.0085778960673106,-20.66619220073239,time_varying,5.0,7
276000,0.021514122444246473,-16.67276363964867,time_varying,0.0,7
280000,0.1239794434038522,-9.066503177081422,time_varying,20.0,7
280000,0.13265792800853485,-8.77266790250766,time_varying,15.0,7
280000,0.042681708690153426,-13.697582026429487,time_varying,0.0,7
280000,0.01724362281787616,-17.633714853236174,time_varying,5.0,7
284000,0.002999993233770919,-25.22879724648661,colored,15.0,7
284000,0.00405215425065874,-23.92314030890941,colored,10.0,7
284000,0.0741761605907535,-11.297356498018038,impulsive,10.0,7
284000,0.0015617925883453672,-28.0637664221531,impulsive,20.0,7
288000,0.0722472213104942,-11.411788515789077,impulsive,0.0,7
288000,0.04120958051657751,-13.85001806242909,impulsive,15.0,7
288000,0.013648660489229648,-18.64909969154177,impulsive,15.0,7
288000,0.016061613942278504,-17.942108169998882,gaussian,15.0,7
292000,0.008887037760400847,-20.51242974492113,colored,10.0,7
292000,0.3289460819145596,-4.828752821276744,colored,0.0,7
292000,0.0023735168001805225,-26.24607689736999,time_varying,10.0,7
292000,0.025488071849642017,-15.936630172690357,time_varying,20.0,7
296000,0.011271446061850942,-19.480203628510182,time_varying,20.0,7
296000,0.024501160835975165,-16.108133387722184,impulsive,20.0,7
296000,4.237668698516578,6.2712700050363654,colored,5.0,7
296000,0.03030889447421662,-15.18429904347298,time_varying,10.0,7
300000,0.03212176185775694,-14.932006419565191,gaussian,15.0,7
300000,0.0833773758791229,-10.789517774600947,impulsive,0.0,7
300000,0.003510957332271499,-24.545744482439456,time_varying,15.0,7
300000,0.002747043994460719,-25.611343850523856,colored,15.0,7
304000,0.005532748158236659,-22.570590976410855,time_varying,10.0,7
304000,0.0024588055269461834,-26.09275819158702,impulsive,20.0,7
304000,0.00308163082451313,-25.11219390291769,time_varying,15.0,7
304000,0.004363707881575262,-23.601443298600167,impulsive,15.0,7
308000,0.025992157463117536,-15.851576706385199,time_varying,5.0,7
308000,0.1774741170150179,-7.508649758864401,time_varying,15.0,7
308000,0.5906215067052565,-2.2869074281998762,time_varying,10.0,7
308000,0.030889778461330834,-15.101852063936697,impulsive,5.0,7
312000,0.07623877634025365,-11.178240828905334,gaussian,0.0,7
312000,0.0017916040415758116,-27.467579662840663,impulsive,15.0,7
312000,0.005298777111105305,-22.758243482755546,time_varying,20.0,7
312000,0.15975882941332972,-7.965351302903314,colored,10.0,7
316000,0.0010075951515504814,-29.967139305205315,gaussian,20.0,7
316000,0.0027259580373279963,-25.644808337041567,impulsive,15.0,7
316000,0.002531190358799539,-25.96675192217593,impulsive,10.0,7
316000,0.017507834712708923,-17.56767562085368,colored,5.0,7
320000,0.003342889754665366,-24.758779456615958,gaussian,20.0,7
320000,0.025172873094805655,-15.990672135956652,impulsive,5.0,7
320000,0.005529920526549025,-22.572811100506236,gaussian,20.0,7
320000,0.02490093574708026,-16.037843323182486,gaussian,5.0,7
324000,0.001019356176007918,-29.9167404103644,gaussian,20.0,7
324000,0.034404091727284175,-14.633899030872026,colored,15.0,7
324000,0.0006032284833158834,-32.19518159364515,impulsive,20.0,7
324000,0.012918426898803393,-18.887903679454038,gaussian,5.0,7
328000,0.0014584589784927462,-28.361057813043153,gaussian,20.0,7
328000,0.7285310579983939,-1.3755192909613043,time_varying,0.0,7
328000,0.051045829821998366,-12.920397317129462,impulsive,5.0,7
328000,0.013094355983795098,-18.82915856469573,impulsive,5.0,7
332000,0.01749386674269757,-17.571141859561376,colored,20.0,7
332000,0.45038215291700606,-3.464188273991535,impulsive,20.0,7
332000,0.006900954371924732,-21.61090844011553,gaussian,20.0,7
332000,0.023888982788245396,-16.218023424402833,impulsive,5.0,7
336000,0.007130302047260196,-21.468920725164086,impulsive,20.0,7
336000,0.002052992162208203,-26.876127084384333,gaussian,15.0,7
336000,0.0010170871572452492,-29.92641829060482,impulsive,15.0,7
336000,0.001353033811158693,-28.68691350297825,gaussian,15.0,7
340000,0.004584518980724784,-23.387062247794695,time_varying,20.0,7
340000,3.5787354262346187,5.537295924461164,colored,0.0,7
340000,0.0010782111179175914,-29.6729619387665,colored,20.0,7
340000,0.33532174443937046,-4.745382831823648,gaussian,5.0,7
344000,0.000610072004123663,-32.146189033788026,colored,20.0,7
344000,0.0018949484519131074,-27.224025993739446,colored,20.0,7
344000,0.03044716720009555,-15.164531078311967,colored,20.0,7
344000,0.10177255719431876,-9.923693130146445,gaussian,5.0,7
348000,0.5995613729234317,-2.221663545865101,colored,20.0,7
348000,0.0044690716686850256,-23.497826805826154,gaussian,10.0,7
348000,0.011831069045858272,-19.2697601106313,colored,5.0,7
348000,0.03827256945180699,-14.171123801659775,gaussian,5.0,7
352000,0.0013437690202974327,-28.716753751786108,colored,15.0,7
352000,0.016790969611285966,-17.749242243439767,gaussian,5.0,7
352000,0.006632236811728579,-21.783399751258905,time_varying,20.0,7
352000,0.0013006093052144393,-28.85853142821493,impulsive,15.0,7
356000,0.0019253389712098805,-27.15492798207223,time_varying,0.0,7
356000,0.10197614397528021,-9.915014140344105,colored,0.0,7
356000,0.0067556338608710095,-21.703338961167148,colored,10.0,7
356000,0.005932990075706185,-22.267263780463907,time_varying,20.0,7
360000,0.015249290984686536,-18.16750348327831,time_varying,20.0,7
360000,0.0034090318695762485,-24.673689385919655,colored,15.0,7
360000,0.013872802108038273,-18.578358087477397,colored,10.0,7
360000,1.3566710682123153,1.3247456352102724,gaussian,0.0,7
364000,0.04127009867333838,-13.84364492749203,time_varying,15.0,7
364000,0.01081855792215337,-19.658306253436834,impulsive,10.0,7
364000,0.37201909658793797,-4.294347662193604,time_varying,0.0,7
364000,0.013630278329286781,-18.65495275781355,colored,5.0,7
368000,0.08277684811348845,-10.820911142066485,colored,0.0,7
368000,0.004335874747255913,-23.62923271886408,time_varying,0.0,7
368000,0.017395857089699845,-17.595541687794885,colored,5.0,7
368000,0.015552372957496192,-18.082033375596005,impulsive,5.0,7
372000,0.27523894071767974,-5.6029012224301695,gaussian,5.0,7
372000,0.06826201597488687,-11.658208898886901,colored,0.0,7
372000,0.4242607554543561,-3.723671390498784,time_varying,10.0,7
372000,0.06810425045778479,-11.668257824603321,impulsive,0.0,7
376000,0.11391457113138823,-9.434207205420803,impulsive,0.0,7
