mse,ss_mse,ss_mse_db,conv_time,snr_improvement_db,train_family,eval_family,seed,model
0.012488817395294272,0.001151706713388651,-29.38658101241911,350,7.8429227661666765,impulsive,chirp_interferer,1,CNN
0.0209989401974988,0.003372970157735,-24.719875010740807,241,5.5861621553128185,impulsive,chirp_interferer,2,CNN
0.05597284605131827,0.00821744097323349,-20.85263406766478,1759,10.293257563045088,impulsive,regime_switch,0,CNN
0.0060735210948927466,0.0005670920173337976,-32.463464652479146,136,7.0996535221008426,impulsive,regime_switch,1,CNN
0.02705273524568347,0.0035532664245539786,-24.493722276894125,151,13.396199229100567,impulsive,regime_switch,2,CNN
0.009601751468209675,0.0064940456349485325,-21.87484663758834,140,8.984631317436156,time_varying,gaussian,0,CNN
0.00971420900372408,0.005571257997677199,-22.5404672938701,136,8.934061490460405,time_varying,gaussian,1,CNN
0.009134819753787039,0.0052903971352821055,-22.765117253897422,136,9.201136098671983,time_varying,gaussian,2,CNN
0.013733136907549712,0.010975575521024676,-19.595726975563416,142,7.430438426344452,time_varying,colored,0,CNN
0.012985404894086276,0.008649575265702012,-20.630052178365055,140,7.673580964687735,time_varying,colored,1,CNN
0.012419688294153946,0.009577995358495345,-20.187253777074904,136,7.86702896075554,time_varying,colored,2,CNN
0.00989157866972568,0.00501935726108095,-22.99351891500962,141,8.855479828664647,time_varying,impulsive,0,CNN
0.010487420374603406,0.00783881600630078,-21.05749529194007,136,8.601449157628267,time_varying,impulsive,1,CNN
0.009621047671971156,0.005291414831204581,-22.764281896538844,136,8.975912256735459,time_varying,impulsive,2,CNN
0.01033139623009059,0.001705283719996101,-27.682033537905202,139,9.248530393014608,time_varying,time_varying,0,CNN
0.01118792137056358,0.005388429070733375,-22.685378294177166,136,9.316209676089159,time_varying,time_varying,1,CNN
0.01600918379363987,0.0012391730625351883,-29.068680356016383,139,10.546748128142092,time_varying,time_varying,2,CNN
0.009574158659997913,0.006090946903027574,-22.15315186311802,140,8.997129720421675,time_varying,alpha_stable,0,CNN
0.010032085634872434,0.01019954492339368,-19.91419204829613,136,8.794223615607125,time_varying,alpha_stable,1,CNN
